period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
2024,AL,Alabama,IPP,Independent Power Producers,OOG,Other Gas,3.8,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,PET,Petroleum,9.0,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,PETIC,Petroleum - IC,9.0,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,SOL,Solar,615.5,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,SOLPV,Solar - PV,615.5,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,WOO,Wood,607.5,megawatts
2024,AL,Alabama,TOT,All sectors,ALL,All,30995.7,megawatts
2024,AL,Alabama,TOT,All sectors,BAT,Battery,1.0,megawatts
2024,AL,Alabama,TOT,All sectors,COL,Coal,4728.0,megawatts
2024,AL,Alabama,TOT,All sectors,HYC,Hydroelectric,3290.6,megawatts
2024,AL,Alabama,TOT,All sectors,NG,Natural Gas,16199.6,megawatts
2024,AL,Alabama,TOT,All sectors,NGCC,Natural Gas - CC,11138.3,megawatts
2024,AL,Alabama,TOT,All sectors,NGGT,Natural Gas - GT,3284.8,megawatts
2024,AL,Alabama,TOT,All sectors,NGOTH,Natural Gas - OTH,25.0,megawatts
2024,AL,Alabama,TOT,All sectors,NGST,Natural Gas - ST,1751.5,megawatts
2024,AL,Alabama,TOT,All sectors,NUC,Nuclear,5452.7,megawatts
2024,AL,Alabama,TOT,All sectors,OBM,Other Biomass,6.4,megawatts
2024,AL,Alabama,TOT,All sectors,OOG,Other Gas,3.8,megawatts
2024,AL,Alabama,TOT,All sectors,PET,Petroleum,42.6,megawatts
2024,AL,Alabama,TOT,All sectors,PETGT,Petroleum - GT,16.0,megawatts
2024,AL,Alabama,TOT,All sectors,PETIC,Petroleum - IC,26.6,megawatts
2024,AL,Alabama,TOT,All sectors,SOL,Solar,663.5,megawatts
2024,AL,Alabama,TOT,All sectors,SOLPV,Solar - PV,663.5,megawatts
2024,AL,Alabama,TOT,All sectors,WOO,Wood,607.5,megawatts
2024,AR,Arkansas,EU,Electric Utilities,ALL,All,13680.6,megawatts
2024,AR,Arkansas,EU,Electric Utilities,BAT,Battery,11.2,megawatts
2024,AR,Arkansas,EU,Electric Utilities,COL,Coal,4049.6,megawatts
2024,AR,Arkansas,EU,Electric Utilities,HPS,Pumped Storage,30.0,megawatts
2024,AR,Arkansas,EU,Electric Utilities,HYC,Hydroelectric,1251.1,megawatts
2024,AR,Arkansas,EU,Electric Utilities,NG,Natural Gas,5800.8,megawatts
2024,AR,Arkansas,EU,Electric Utilities,NGCC,Natural Gas - CC,4429.2,megawatts
2024,AR,Arkansas,EU,Electric Utilities,NGGT,Natural Gas - GT,697.6,megawatts
2024,AR,Arkansas,EU,Electric Utilities,NGIC,Natural Gas - IC,18.0,megawatts
2024,AR,Arkansas,EU,Electric Utilities,NGST,Natural Gas - ST,656.0,megawatts
2024,AR,Arkansas,EU,Electric Utilities,NUC,Nuclear,1821.0,megawatts
2024,AR,Arkansas,EU,Electric Utilities,PET,Petroleum,9.0,megawatts
2024,AR,Arkansas,EU,Electric Utilities,PETIC,Petroleum - IC,9.0,megawatts
2024,AR,Arkansas,EU,Electric Utilities,SOL,Solar,707.9,megawatts
2024,AR,Arkansas,EU,Electric Utilities,SOLPV,Solar - PV,707.9,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,ALL,All,2226.2,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,BAT,Battery,17.0,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,COL,Coal,680.0,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,HYC,Hydroelectric,13.4,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,NG,Natural Gas,213.5,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,NGCC,Natural Gas - CC,179.0,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,NGGT,Natural Gas - GT,5.2,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,NGIC,Natural Gas - IC,1.3,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,NGST,Natural Gas - ST,28.0,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,OBM,Other Biomass,8.8,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,SOL,Solar,1076.6,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,SOLPV,Solar - PV,1076.6,megawatts
2024,AR,Arkansas,IPP,Independent Power Producers,WOO,Wood,216.9,megawatts
2024,AR,Arkansas,TOT,All sectors,ALL,All,15906.8,megawatts
2024,AR,Arkansas,TOT,All sectors,BAT,Battery,28.2,megawatts
2024,AR,Arkansas,TOT,All sectors,COL,Coal,4729.6,megawatts
2024,AR,Arkansas,TOT,All sectors,HPS,Pumped Storage,30.0,megawatts
2024,AR,Arkansas,TOT,All sectors,HYC,Hydroelectric,1264.5,megawatts
2024,AR,Arkansas,TOT,All sectors,NG,Natural Gas,6014.3,megawatts
2024,AR,Arkansas,TOT,All sectors,NGCC,Natural Gas - CC,4608.2,megawatts
2024,AR,Arkansas,TOT,All sectors,NGGT,Natural Gas - GT,702.8,megawatts
2024,AR,Arkansas,TOT,All sectors,NGIC,Natural Gas - IC,19.3,megawatts
2024,AR,Arkansas,TOT,All sectors,NGST,Natural Gas - ST,684.0,megawatts
2024,AR,Arkansas,TOT,All sectors,NUC,Nuclear,1821.0,megawatts
2024,AR,Arkansas,TOT,All sectors,OBM,Other Biomass,8.8,megawatts
2024,AR,Arkansas,TOT,All sectors,PET,Petroleum,9.0,megawatts
2024,AR,Arkansas,TOT,All sectors,PETIC,Petroleum - IC,9.0,megawatts
2024,AR,Arkansas,TOT,All sectors,SOL,Solar,1784.5,megawatts
2024,AR,Arkansas,TOT,All sectors,SOLPV,Solar - PV,1784.5,megawatts
2024,AR,Arkansas,TOT,All sectors,WOO,Wood,216.9,megawatts
2024,AZ,Arizona,EU,Electric Utilities,ALL,All,21790.8,megawatts
2024,AZ,Arizona,EU,Electric Utilities,BAT,Battery,261.0,megawatts
2024,AZ,Arizona,EU,Electric Utilities,COL,Coal,2936.0,megawatts
2024,AZ,Arizona,EU,Electric Utilities,HPS,Pumped Storage,216.3,megawatts
2024,AZ,Arizona,EU,Electric Utilities,HYC,Hydroelectric,2720.6,megawatts
2024,AZ,Arizona,EU,Electric Utilities,NG,Natural Gas,11158.1,megawatts
2024,AZ,Arizona,EU,Electric Utilities,NGCC,Natural Gas - CC,6760.0,megawatts
2024,AZ,Arizona,EU,Electric Utilities,NGGT,Natural Gas - GT,3121.1,megawatts
2024,AZ,Arizona,EU,Electric Utilities,NGIC,Natural Gas - IC,182.0,megawatts
2024,AZ,Arizona,EU,Electric Utilities,NGST,Natural Gas - ST,1095.0,megawatts
2024,AZ,Arizona,EU,Electric Utilities,NUC,Nuclear,3937.0,megawatts
2024,AZ,Arizona,EU,Electric Utilities,PET,Petroleum,84.7,megawatts
2024,AZ,Arizona,EU,Electric Utilities,PETGT,Petroleum - GT,84.7,megawatts
2024,AZ,Arizona,EU,Electric Utilities,SOL,Solar,477.1,megawatts
2024,AZ,Arizona,EU,Electric Utilities,SOLPV,Solar - PV,477.1,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,ALL,All,11085.7,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,BAT,Battery,1860.0,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,NG,Natural Gas,3388.1,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,NGCC,Natural Gas - CC,3378.6,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,NGGT,Natural Gas - GT,7.9,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,NGIC,Natural Gas - IC,1.6,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,OBM,Other Biomass,3.2,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,PET,Petroleum,1.5,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,PETIC,Petroleum - IC,1.5,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,SOL,Solar,4573.7,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,SOLPV,Solar - PV,4278.1,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,SOLTH,Solar - TH,295.6,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,WND,Wind,1234.5,megawatts
2024,AZ,Arizona,IPP,Independent Power Producers,WOO,Wood,24.7,megawatts
2024,AZ,Arizona,TOT,All sectors,ALL,All,32876.5,megawatts
2024,AZ,Arizona,TOT,All sectors,BAT,Battery,2121.0,megawatts
2024,AZ,Arizona,TOT,All sectors,COL,Coal,2936.0,megawatts
2024,AZ,Arizona,TOT,All sectors,HPS,Pumped Storage,216.3,megawatts
2024,AZ,Arizona,TOT,All sectors,HYC,Hydroelectric,2720.6,megawatts
2024,AZ,Arizona,TOT,All sectors,NG,Natural Gas,14546.2,megawatts
2024,AZ,Arizona,TOT,All sectors,NGCC,Natural Gas - CC,10138.6,megawatts
2024,AZ,Arizona,TOT,All sectors,NGGT,Natural Gas - GT,3129.0,megawatts
2024,AZ,Arizona,TOT,All sectors,NGIC,Natural Gas - IC,183.6,megawatts
2024,AZ,Arizona,TOT,All sectors,NGST,Natural Gas - ST,1095.0,megawatts
2024,AZ,Arizona,TOT,All sectors,NUC,Nuclear,3937.0,megawatts
2024,AZ,Arizona,TOT,All sectors,OBM,Other Biomass,3.2,megawatts
2024,AZ,Arizona,TOT,All sectors,PET,Petroleum,86.2,megawatts
2024,AZ,Arizona,TOT,All sectors,PETGT,Petroleum - GT,84.7,megawatts
2024,AZ,Arizona,TOT,All sectors,PETIC,Petroleum - IC,1.5,megawatts
2024,AZ,Arizona,TOT,All sectors,SOL,Solar,5050.8,megawatts
2024,AZ,Arizona,TOT,All sectors,SOLPV,Solar - PV,4755.2,megawatts
2024,AZ,Arizona,TOT,All sectors,SOLTH,Solar - TH,295.6,megawatts
2024,AZ,Arizona,TOT,All sectors,WND,Wind,1234.5,megawatts
2024,AZ,Arizona,TOT,All sectors,WOO,Wood,24.7,megawatts
2024,CA,California,EU,Electric Utilities,ALL,All,29003.5,megawatts
2024,CA,California,EU,Electric Utilities,BAT,Battery,807.1,megawatts
2024,CA,California,EU,Electric Utilities,GEO,Geothermal,125.0,megawatts
2024,CA,California,EU,Electric Utilities,HPS,Pumped Storage,3869.9,megawatts
2024,CA,California,EU,Electric Utilities,HYC,Hydroelectric,9649.3,megawatts
2024,CA,California,EU,Electric Utilities,NG,Natural Gas,11526.7,megawatts
2024,CA,California,EU,Electric Utilities,NGCC,Natural Gas - CC,7136.7,megawatts
2024,CA,California,EU,Electric Utilities,NGGT,Natural Gas - GT,3289.9,megawatts
2024,CA,California,EU,Electric Utilities,NGIC,Natural Gas - IC,228.2,megawatts
2024,CA,California,EU,Electric Utilities,NGST,Natural Gas - ST,871.9,megawatts
2024,CA,California,EU,Electric Utilities,NUC,Nuclear,2240.0,megawatts
2024,CA,California,EU,Electric Utilities,PET,Petroleum,116.3,megawatts
2024,CA,California,EU,Electric Utilities,PETGT,Petroleum - GT,76.9,megawatts
2024,CA,California,EU,Electric Utilities,PETIC,Petroleum - IC,39.4,megawatts
2024,CA,California,EU,Electric Utilities,SOL,Solar,233.7,megawatts
2024,CA,California,EU,Electric Utilities,SOLPV,Solar - PV,233.7,megawatts
2024,CA,California,EU,Electric Utilities,WND,Wind,435.5,megawatts
2024,CA,California,IPP,Independent Power Producers,ALL,All,67769.7,megawatts
2024,CA,California,IPP,Independent Power Producers,BAT,Battery,10910.2,megawatts
2024,CA,California,IPP,Independent Power Producers,COL,Coal,57.0,megawatts
2024,CA,California,IPP,Independent Power Producers,GEO,Geothermal,1756.2,megawatts
2024,CA,California,IPP,Independent Power Producers,HYC,Hydroelectric,564.3,megawatts
2024,CA,California,IPP,Independent Power Producers,NG,Natural Gas,24802.4,megawatts
2024,CA,California,IPP,Independent Power Producers,NGCC,Natural Gas - CC,13275.9,megawatts
2024,CA,California,IPP,Independent Power Producers,NGGT,Natural Gas - GT,8216.4,megawatts
2024,CA,California,IPP,Independent Power Producers,NGIC,Natural Gas - IC,297.9,megawatts
2024,CA,California,IPP,Independent Power Producers,NGOTH,Natural Gas - OTH,140.1,megawatts
2024,CA,California,IPP,Independent Power Producers,NGST,Natural Gas - ST,2872.1,megawatts
2024,CA,California,IPP,Independent Power Producers,OBM,Other Biomass,437.5,megawatts
2024,CA,California,IPP,Independent Power Producers,OOG,Other Gas,212.5,megawatts
2024,CA,California,IPP,Independent Power Producers,OT,Other,91.2,megawatts
2024,CA,California,IPP,Independent Power Producers,PET,Petroleum,325.9,megawatts
2024,CA,California,IPP,Independent Power Producers,PETGT,Petroleum - GT,110.0,megawatts
2024,CA,California,IPP,Independent Power Producers,PETIC,Petroleum - IC,215.9,megawatts
