gid_0,gid_1,name_0,name_1,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,Irr,4.635940368,426,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,Liv,4.677118116,351,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,Tot,4.648475186,414,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,opt,bws,One,4.21404642,370,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,bau,bws,One,4.171506299,357,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,pes,bws,One,4.221298162,348,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,opt,bws,One,4.109206812,388,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,bau,bws,One,4.272429628,408,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,pes,bws,One,4.284276092,384,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,opt,bws,One,4.226869726,390,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,bau,bws,One,4.401574217,436,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,One,4.354770693,403,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,opt,bws,Dom,2.334546341,1073,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,opt,bws,Ind,1.266287676,1663,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,opt,bws,Irr,2.45336152,1047,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,opt,bws,Liv,3.015232234,842,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,opt,bws,Tot,2.448091636,1077,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,bau,bws,Dom,2.327178774,1056,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,bau,bws,Ind,1.345804986,1618,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,bau,bws,Irr,2.382196018,1064,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,bau,bws,Liv,2.981574611,841,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,bau,bws,Tot,2.378621179,1086,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,pes,bws,Dom,2.766509693,899,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,pes,bws,Ind,1.786460424,1378,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,pes,bws,Irr,2.834108477,894,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,pes,bws,Liv,3.347363804,689,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,pes,bws,Tot,2.830416283,930,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,opt,bws,Dom,2.239352125,1126,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,opt,bws,Ind,1.130980736,1782,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,opt,bws,Irr,2.334666027,1112,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,opt,bws,Liv,2.939147915,888,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,opt,bws,Tot,2.325142319,1161,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,bau,bws,Dom,2.775577918,957,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,bau,bws,Ind,2.013191564,1326,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,bau,bws,Irr,2.821690462,986,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,bau,bws,Liv,3.316581387,813,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,bau,bws,Tot,2.816595444,992,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,pes,bws,Dom,3.094432429,857,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,pes,bws,Ind,2.283236446,1203,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,pes,bws,Irr,3.12433541,870,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,pes,bws,Liv,3.557761707,679,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,pes,bws,Tot,3.120181717,902,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,opt,bws,Dom,2.443055953,1071,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,opt,bws,Ind,1.469784625,1645,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,opt,bws,Irr,2.529150339,1070,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,opt,bws,Liv,3.092240455,872,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,opt,bws,Tot,2.516707781,1097,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,bau,bws,Dom,3.275318855,881,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,bau,bws,Ind,2.614954476,1152,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,bau,bws,Irr,3.295478072,918,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,bau,bws,Liv,3.675578985,725,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,bau,bws,Tot,3.288259936,936,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,pes,bws,Dom,3.008310147,962,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,pes,bws,Ind,2.266559926,1394,2,Medium - High (20-40%),Asia,South Asia
